Biome ID,Biome Name,UMD Classes
1,Tropical & Subtropical Moist Broadleaf Forests,EBF;DBF;MF
2,Tropical & Subtropical Dry Broadleaf Forests,EBF;DBF;MF
3,Tropical & Subtropical Coniferous Forests,ENF
4,Temperate Broadleaf & Mixed Forests,DBF;MF
5,Temperate Coniferous Forests,ENF;DNF
6,Boreal Forests/Taiga,ENF;DNF
7,Tropical & Subtropical Grasslands  Savannas & Shrublands,CS;OS;WS;S;G
8,Temperate Grasslands  Savannas & Shrublands,CS;OS;WS;S;G
9,Flooded Grasslands & Savannas,CS;OS;WS;S;G
10,Montane Grasslands & Shrublands,CS;OS;G
11,Tundra,CS;OS;G
12,Mediterranean Forests  Woodlands & Scrub,ENF;EBF;DNF;DBF;MF;CD;OS;WS;S
13,Deserts & Xeric Shrublands,CS;OS;B
14,Mangroves,
